income_id,pers_income_2021,metro_id
900,52263,700
901,78150,701
902,71372,702
903,70490,703
904,59876,704
905,63375,705
906,63912,706
907,55752,707
908,59425,708
909,85136,709
910,136338,710
911,89274,711
912,71570,712
913,58315,713
914,80822,714
